Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-NCZ	Airbus A321neo	C12Y208	Sep 2025		0.4 Years	
VT-NHA	Airbus A321neo	C12Y208	Sep 2025		0.3 Years	
VT-NHB	Airbus A321neo	C12Y208	Sep 2025		0.3 Years	
VT-NHC	Airbus A321neo	C12Y208	Sep 2025		0.2 Years	
VT-NHD	Airbus A321neo	C12Y208	Sep 2025		0.2 Years	
VT-NHE	Airbus A321neo	C12Y208	Sep 2025		0.2 Years	
VT-NHF	Airbus A321neo	C12Y208	Oct 2025		Brand new	
VT-NHG	Airbus A321neo	C12Y208	Sep 2025		0.3 Years	
VT-NHH	Airbus A321neo	C12Y208	Nov 2025		Brand new	
VT-NHI	Airbus A321neo	C12Y208	Oct 2025		0.2 Years	
VT-NHJ	Airbus A321neo	Y232	On Order		Brand new	
VT-NHK	Airbus A321neo	C12Y208	On Order		Brand new	
VT-NHL	Airbus A321neo	C12Y208	On Order		Brand new	
VT-NHM	Airbus A321neo	Y232	Nov 2025		Brand new	
VT-NHN	Airbus A321neo	Y232	On Order			
VT-NHO	Airbus A321neo	C12Y208	On Order			
VT-NHP	Airbus A321neo	Y232	On Order		Brand new	
VT-NHQ	Airbus A321neo	Y232	On Order		Brand new	
VT-NHR	Airbus A321neo	Y232	On Order			
VT-IRA	ATR 72	Y78	Sep 2021	lsd	5.4 Years	
VT-IRB	ATR 72	Y78	Dec 2021		4 Years	
VT-IRD	ATR 72	Y78	Nov 2021		5 Years	
VT-IRE	ATR 72	Y78	Dec 2022	lsd	3.1 Years	
VT-IRF	ATR 72	Y78	Jan 2023	lsd	3 Years	
VT-IRG	ATR 72	Y78	Jan 2023	lsd	3 Years	
VT-IRH	ATR 72	Y78	Jan 2023	lsd	2.9 Years	
VT-IRI	ATR 72	Y78	Jul 2023	lsd	2.4 Years	
VT-IRJ	ATR 72	Y78	Sep 2023	lsd	2.3 Years	
VT-IRK	ATR 72	Y78	Oct 2023	lsd	2.2 Years	
VT-IRL	ATR 72	Y78	Dec 2023		2.1 Years	
VT-IRM	ATR 72	Y78	Jan 2024		2 Years	
VT-IRN	ATR 72	Y78	Feb 2024		1.9 Years	
VT-IRO	ATR 72	Y78	Jan 2025		1 Years	
VT-IRP	ATR 72	Y78	Jan 2025		0.9 Years	
VT-IRQ	ATR 72	Y78	Jan 2025		0.9 Years	
VT-IRR	ATR 72	Y78	Jan 2025		0.9 Years
VT-IRS	ATR 72 	Y78	Jan 2025		0.9 Years	
VT-IXS	ATR 72	Y78	Jun 2021		6.4 Years	
VT-IXV	ATR 72	Y78	Jun 2021		6.1 Years	
VT-IXW	ATR 72	Y78	Jul 2021		5.8 Years	
VT-IXX	ATR 72	Y78	Aug 2021	lsd	5.7 Years	
VT-IXY	ATR 72	Y78	Sep 2021	lsd	5.6 Years	
VT-IXZ	ATR 72	Y78	Sep 2021	lsd	5.5 Years	
VT-IYA	ATR 72	Y78	Nov 2017	lsd	8.1 Years	
VT-IYB	ATR 72	Y78	Dec 2017		8 Years	
VT-IYC	ATR 72	Y78	Dec 2017		8 Years	
VT-IYD	ATR 72	Y78	Feb 2018		7.8 Years	
VT-IYE	ATR 72	Y78	Mar 2018		7.8 Years	
VT-IYF	ATR 72	Y78	Mar 2018		7.7 Years	
VT-IYG	ATR 72	Y78	May 2018		7.7 Years	
VT-IYH	ATR 72	Y78	May 2018		7.6 Years	
VT-IYI	ATR 72	Y78	Jun 2018		7.6 Years	
VT-IYJ	ATR 72	Y78	Jul 2018		7.6 Years	
VT-IYK	ATR 72	Y78	Sep 2018		7.6 Years	
VT-IYL	ATR 72	Y78	Sep 2018	Parked / Maintenance	7.4 Years	
VT-IYO	ATR 72	Y78	Mar 2019	lsd	7.2 Years	
VT-IYP	ATR 72	Y78	Apr 2019	lsd	7.2 Years	
VT-IYQ	ATR 72	Y78	May 2019	lsd	7.1 Years	
VT-IYS	ATR 72	Y78	Jun 2021		4.8 Years	
VT-IYT	ATR 72	Y78	Nov 2019	lsd	6.9 Years	
VT-IYU	ATR 72	Y78	Dec 2019	lsd	6.8 Years	
VT-IYW	ATR 72	Y78	Oct 2019	Parked / Maintenance, lsd	6.8 Years	
VT-IYX	ATR 72	Y78	Dec 2019	lsd	6.8 Years	
VT-IYY	ATR 72	Y78	Sep 2019	lsd	6.6 Years	
VT-IYZ	ATR 72	Y78	Aug 2019	lsd	6.5 Years	
TC-COE	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines	14.5 Years	
TC-CON	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines	14.8 Years	
TC-COR	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines	8.6 Years	
TC-TJR	Boeing 737-800	Y189	Nov 2025	lsf Corendon Airlines	14.7 Years	
TC-MKB	Boeing 737 MAX 8	Y189	Nov 2025	lsf Corendon Airlines	3.6 Years	
TC-LKD	Boeing 777-300ER	C7Y524	May 2023	lsf Turkish Airlines	16.6 Years	
TC-LKE	Boeing 777-300ER	C7Y524	Jun 2023	lsf Turkish Airlines	18.8 Years	
LN-FNB	Boeing 787-9 Dreamliner	W56Y282	Oct 2025	lsf Norse Atlantic Airways	6.4 Years	
LN-FNC	Boeing 787-9 Dreamliner	W56Y282	Feb 2025	lsf Norse Atlantic Airways	7.6 Years	
LN-FNL	Boeing 787-9 Dreamliner	W56Y282	Oct 2025	lsf Norse Atlantic Airways	6.7 Years	
LN-LNO	Boeing 787-9 Dreamliner	W56Y282	Nov 2025	lsf Norse Atlantic Airways	8.5 Years	
LN-LNR	Boeing 787-9 Dreamliner	W56Y282	Sep 2025	lsf Norse Atlantic Airways	8.4 Years	
