Reg	Aircraft Type	Config	Delivered	Remark	Aircraft Name	Age	
VT-TQB	Airbus A320neo	C8W24Y132	Nov 2024	lsd		5.1 Years	
VT-TQC	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.9 Years	
VT-TQD	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.8 Years	
VT-TQE	Airbus A320neo	C8W24Y132	Nov 2024			4.7 Years	
VT-TQF	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.8 Years	
VT-TQG	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.4 Years	
VT-TQH	Airbus A320neo	C8W24Y132	Nov 2024	lsd		4.3 Years	
VT-TQI	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3.7 Years	
VT-TQJ	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3.6 Years	
VT-TQK	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3.7 Years	
VT-TQL	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3.7 Years	
VT-TQM	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3.3 Years	
VT-TQN	Airbus A320neo	C8W24Y132	Nov 2024	Parked / Maintenance, lsd		3.2 Years	
VT-TQO	Airbus A320neo	C8W24Y132	Nov 2024	lsd		3 Years	
VT-TQP	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2.7 Years	
VT-TQQ	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2.7 Years	
VT-TQR	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2.3 Years	
VT-TQS	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2.3 Years	
VT-TQT	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2.1 Years	
VT-TQU	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2 Years	
VT-TQV	Airbus A320neo	C8W24Y132	Nov 2024	lsd		2 Years	
VT-TQW	Airbus A320neo	C8W24Y132	Nov 2024			1.8 Years	
VT-TQX	Airbus A320neo	C8W24Y132	Nov 2024			1.8 Years	
VT-TYA	Airbus A320neo	Y180	Nov 2024	Stored at BOM after incident, lsd		4.8 Years	
VT-TYB	Airbus A320neo	Y180	Nov 2024	lsd		4.5 Years	
VT-TYC	Airbus A320neo	Y180	Nov 2024	lsd		4.2 Years
VT-TYD	Airbus A320neo 	Y180	Nov 2024	lsd		4.3 Years	
VT-TYE	Airbus A320neo	Y180	Nov 2024	lsd		3.4 Years	
VT-TYF	Airbus A320neo	Y180	Nov 2024	lsd		2.9 Years	
VT-TYG	Airbus A320neo	Y180	Nov 2024	lsd		2.9 Years	
VT-PPH	Airbus A321-200	C12Y170	Apr 2008	Parked / Maintenance		17.6 Years	
VT-PPI	Airbus A321-200	C12Y170	Jun 2008			17.5 Years	
VT-PPJ	Airbus A321-200	C12Y170	Jul 2008			17.5 Years	
VT-PPK	Airbus A321-200	C12Y170	Aug 2008			17.3 Years	
VT-PPL	Airbus A321-200	C12Y170	Jan 2009			17 Years	
VT-PPM	Airbus A321-200	C12Y170	Feb 2009			16.8 Years	
VT-PPO	Airbus A321-200	C12Y170	Aug 2009			16.4 Years	
VT-PPQ	Airbus A321-200	C12Y170	Aug 2009			16.3 Years	
VT-PPT	Airbus A321-200	C12Y170	Oct 2009			16.1 Years	
VT-PPU	Airbus A321-200	C12Y170	Nov 2009			16.1 Years	
VT-PPV	Airbus A321-200	C12Y170	Dec 2009			16 Years	
VT-PPW	Airbus A321-200	C12Y170	Jan 2010			15.9 Years	
VT-PPX	Airbus A321-200	C12Y170	Apr 2010			15.7 Years	
VT-TVA	Airbus A321neo	C12W24Y152	Nov 2024	lsd		5.6 Years	
VT-TVB	Airbus A321neo	C12W24Y152	Nov 2024	lsd		5.2 Years	
VT-TVC	Airbus A321neo	C12W24Y152	Nov 2024	lsd		4.6 Years	
VT-TVD	Airbus A321neo	C12W24Y152	Nov 2024	lsd		4.3 Years	
VT-TVE	Airbus A321neo	C12W24Y152	Nov 2024	lsd		3.6 Years	
VT-TVF	Airbus A321neo	C12W24Y152	Nov 2024	lsd		2.8 Years	
VT-TVG	Airbus A321neo	C12W24Y152	Nov 2024	lsd		2.9 Years	
VT-TVH	Airbus A321neo	C12W24Y152	Nov 2024	lsd		2.8 Years	
VT-TVI	Airbus A321neo	C12W24Y152	Nov 2024	lsd		2.7 Years	
VT-TVJ	Airbus A321neo	C12W24Y152	Nov 2024	lsd		2.6 Years	
VT-JRA	Airbus A350-900	C28W24Y264	Dec 2023	lsd		2.3 Years	
VT-JRB	Airbus A350-900	C28W24Y264	Feb 2024	lsd		2.2 Years	
VT-JRE	Airbus A350-900	C28W24Y264	Mar 2024			2.2 Years	
VT-JRF	Airbus A350-900	C28W24Y264	Apr 2024	lsd		2.1 Years	
VT-JRH	Airbus A350-900	C28W24Y264	Feb 2024	lsd		2 Years	
VT-JRI	Airbus A350-900	C28W24Y264	Apr 2024	lsd		2 Years	
VT-JRO	Airbus A350-1000		On Order			Brand new	
